#Digilent WaveForms Scope FFT
#Device Name: Discovery3
#Serial Number: SN:210415BB6C6F
#Date Time: 2026-05-19 14:40:38.231

Frequency (Hz),Channel 1 (dBV),Phase (deg)
348663.330078125,-62.41675553234541,-57.70204903010777
349426.26953125,-63.54621480036436,99.76869161264108
350189.208984375,-72.83253160081544,-75.73070445809259
350952.1484375,-67.59797339676885,137.3487732085483
351715.087890625,-56.98855314161111,-27.3404166985394
352478.02734375,-63.3070624111204,169.4704519677101
353240.966796875,-71.32653991197145,37.26349488931817
354003.90625,-74.18554960454956,-96.97243045693509
354766.845703125,-61.30785867832272,-10.4547642351319
355529.78515625,-58.05954571388567,163.4618429913234
356292.724609375,-93.44689174510478,-27.41613488041472
357055.6640625,-61.82564560511683,50.79885375338157
357818.603515625,-59.54591133059058,-94.78184633901866
358581.54296875,-55.96077329526278,130.5389264234046
359344.482421875,-57.75760810412542,-17.08285355783774
360107.421875,-65.11959391013727,-115.9366183017903
360870.361328125,-64.83746722098695,-115.0546847867204
361633.30078125,-65.47429096313715,64.34215235295662
362396.240234375,-77.65520665263334,-38.4557866335399
363159.1796875,-72.3457762634701,98.78470305867428
363922.119140625,-62.76070134363281,144.4537545769898
364685.05859375,-59.63842944658936,-51.05953816096837
365447.998046875,-65.00404760224974,97.4520102113821
366210.9375,-67.07903372172289,92.3076479630509
366973.876953125,-61.03521961350844,-96.11669415140516
367736.81640625,-63.35418752051862,127.5583528691419
368499.755859375,-62.06268241428304,-54.73153139718038
369262.6953125,-62.41002875925477,120.6154483480462
370025.634765625,-71.71427159657767,-4.559885804753796
370788.57421875,-66.85564787553345,-22.30949239823619
371551.513671875,-69.39345021489855,-125.1260744477857
372314.453125,-69.48589002703829,140.6359513284339
373077.392578125,-62.83134539199178,-0.1952319126655463
373840.33203125,-59.204620846362,-145.5214340106229
374603.271484375,-60.71583347939285,91.33490171037363
375366.2109375,-78.22005725705418,84.59271636273155
376129.150390625,-59.14849845423738,-14.36935663633761
376892.08984375,-60.64721173624362,167.4417708788534
377655.029296875,-64.37093468809009,-77.96212786588872
378417.96875,-62.68369683831586,89.65333285381044
379180.908203125,-60.93675877870975,-83.48529350745444
379943.84765625,-56.70699119160062,104.2958236160584
380706.787109375,-57.44507123624533,-37.82657226647378
381469.7265625,-60.00543820885855,-159.3629667659729
382232.666015625,-58.74577814929224,61.96511988705018
382995.60546875,-59.20163121129877,-164.1054917607803
383758.544921875,-57.83010544276568,-24.68846360187368
384521.484375,-64.08873184054994,111.0550638888341
385284.423828125,-64.55033941803403,-92.60217878517376
386047.36328125,-61.7274197275854,86.02368858020949
386810.302734375,-60.07205037485727,-131.0877532348787
387573.2421875,-58.43792160436465,-16.46330136350091
388336.181640625,-59.58643231121744,124.5042353822812
389099.12109375,-65.53184342834867,-67.48758837817314
389862.060546875,-71.94650682132628,56.00721986603973
390625,-61.68272984184577,-125.9380061228177
391387.939453125,-62.12102512556442,74.42611261940279
392150.87890625,-65.73748488846179,-17.41762703974869
392913.818359375,-60.06550254246902,-146.2611895699964
393676.7578125,-62.24367249579667,25.97876453670042
394439.697265625,-63.11862703700858,-148.1512161720711
395202.63671875,-77.18775038780305,-51.21009418031964
395965.576171875,-72.46827661602802,147.4474836212424
396728.515625,-60.56664673056213,118.3346588026155
397491.455078125,-60.42293881054634,-75.42561120799009
398254.39453125,-70.35819042885961,109.8644987275445
399017.333984375,-70.26474394198169,-15.9827456503264
399780.2734375,-62.0872562044108,-173.9103790803597
400543.212890625,-62.08018250189462,4.519404678154435
401306.15234375,-74.56440738092952,69.34917078534858
402069.091796875,-72.46932540689117,-114.4414650807624
402832.03125,-71.36428279120052,-108.5126766447637
403594.970703125,-60.24811166815727,50.34854772377572
404357.91015625,-59.40949457506299,-156.9015099006895
405120.849609375,-62.26375239360888,-18.62934135781122
405883.7890625,-57.55937755640193,164.2250707652882
406646.728515625,-62.59624643549495,7.467189099076148
407409.66796875,-63.13755657817037,-89.60000721316207
408172.607421875,-61.93150424448157,119.2807110293967
408935.546875,-64.09885795574459,-46.12774908570791
409698.486328125,-64.57055461856912,122.8571069626242
410461.42578125,-64.9866210239236,-51.6593309368925
411224.365234375,-75.4251111289316,144.9502230335404
411987.3046875,-77.00209620009468,38.03629238593938
412750.244140625,-67.31717439353184,148.0487862475955
413513.18359375,-79.56321243082118,10.53690991266725
414276.123046875,-64.06055762473713,-68.0345856524057
