Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.01
Sample Interval,8e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Label,
TIME,CH1
6.800e-03,-0.014
6.880e-03,-0.016
6.960e-03,-0.016
7.040e-03,-0.01
7.120e-03,-0.006
7.200e-03,-0.002
7.280e-03,-0.002
7.360e-03,0.002
7.440e-03,0.002
7.520e-03,0.002
7.600e-03,0
7.680e-03,0
7.760e-03,0.004
7.840e-03,0.008
7.920e-03,0.014
8.000e-03,0.016
8.080e-03,0.016
8.160e-03,0.018
8.240e-03,0.016
8.320e-03,0.014
8.400e-03,0.02
8.480e-03,0.028
8.560e-03,0.03
8.640e-03,0.032
8.720e-03,0.032
8.800e-03,0.032
8.880e-03,0.03
8.960e-03,0.032
9.040e-03,0.034
9.120e-03,0.038
9.200e-03,0.04
9.280e-03,0.042
9.360e-03,0.044
9.440e-03,0.044
9.520e-03,0.044
9.600e-03,0.04
9.680e-03,0.04
9.760e-03,0.04
9.840e-03,0.036
9.920e-03,0.034
1.000e-02,0.036
1.008e-02,0.038
1.016e-02,0.04
1.024e-02,0.046
1.032e-02,0.042
1.040e-02,0.034
1.048e-02,0.032
1.056e-02,0.038
1.064e-02,0.04
1.072e-02,0.038
1.080e-02,0.032
1.088e-02,0.03
1.096e-02,0.036
1.104e-02,0.036
1.112e-02,0.032
1.120e-02,0.024
1.128e-02,0.026
1.136e-02,0.03
